ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-11-10,2025-10-22,2025-11-10,2025-12-10,1.68
2025-08-08,2025-07-23,2025-08-08,2025-09-10,1.68
2025-05-09,2025-04-29,2025-05-09,2025-06-10,1.68
2025-02-10,2025-01-28,2025-02-10,2025-03-10,1.67
2024-11-12,2024-10-30,2024-11-12,2024-12-10,1.67
2024-08-09,2024-07-29,2024-08-09,2024-09-10,1.67
2024-05-09,2024-04-30,2024-05-10,2024-06-10,1.67
2024-02-08,2024-01-30,2024-02-09,2024-03-09,1.66
2023-11-09,2023-10-30,2023-11-10,2023-12-09,1.66
2023-08-09,2023-07-24,2023-08-10,2023-09-09,1.66
2023-05-09,2023-04-25,2023-05-10,2023-06-10,1.66
2023-02-09,2023-01-31,2023-02-10,2023-03-10,1.65
2022-11-09,2022-10-25,2022-11-10,2022-12-10,1.65
2022-08-09,2022-07-25,2022-08-10,2022-09-10,1.65
2022-05-09,2022-04-26,2022-05-10,2022-06-10,1.65
2022-02-10,2022-02-01,2022-02-11,2022-03-10,1.64
2021-11-09,2021-10-26,2021-11-10,2021-12-10,1.64
2021-08-09,2021-07-27,2021-08-10,2021-09-10,1.64
2021-05-07,2021-04-27,2021-05-10,2021-06-10,1.64
2021-02-09,2021-01-26,2021-02-10,2021-03-10,1.63
2020-11-09,None,None,None,1.63
2020-08-07,2020-07-28,2020-08-10,2020-09-10,1.63
2020-05-07,None,None,None,1.63
2020-02-07,None,None,None,1.62
2019-11-07,None,None,None,1.62
2019-08-08,None,None,None,1.62
2019-05-09,None,None,None,1.62
2019-02-07,None,None,None,1.57
2018-11-08,None,None,None,1.57
2018-08-09,None,None,None,1.57
2018-05-09,None,None,None,1.57
2018-02-08,None,None,None,1.5
2017-11-09,None,None,None,1.5
2017-08-08,None,None,None,1.5
2017-05-08,None,None,None,1.5
2017-02-08,None,None,None,1.4
2016-11-08,None,None,None,1.4
2016-08-08,None,None,None,1.4
2016-05-06,None,None,None,1.4
2016-02-08,None,None,None,1.3
2015-11-06,None,None,None,1.3
2015-08-06,None,None,None,1.3
2015-05-06,None,None,None,1.3
2015-02-06,None,None,None,1.1
2014-11-06,None,None,None,1.1
2014-08-06,None,None,None,1.1
2014-05-07,None,None,None,1.1
2014-02-06,None,None,None,0.95
2013-11-06,None,None,None,0.95
2013-08-07,None,None,None,0.95
2013-05-08,None,None,None,0.95
2013-02-06,None,None,None,0.85
2012-11-07,None,None,None,0.85
2012-08-08,None,None,None,0.85
2012-05-08,None,None,None,0.85
2012-02-08,None,None,None,0.75
2011-11-08,None,None,None,0.75
2011-08-08,None,None,None,0.75
2011-05-06,None,None,None,0.75
2011-02-08,None,None,None,0.65
2010-11-08,None,None,None,0.65
2010-08-06,None,None,None,0.65
2010-05-06,None,None,None,0.65
2010-02-08,None,None,None,0.55
2009-11-06,None,None,None,0.55
2009-08-06,None,None,None,0.55
2009-05-06,None,None,None,0.55
2009-02-06,None,None,None,0.5
2008-11-06,None,None,None,0.5
2008-08-06,None,None,None,0.5
2008-05-07,None,None,None,0.5
2008-02-06,None,None,None,0.4
2007-11-07,None,None,None,0.4
2007-08-08,None,None,None,0.4
2007-05-08,None,None,None,0.4
2007-02-07,None,None,None,0.3
2006-11-08,None,None,None,0.3
2006-08-08,None,None,None,0.3
2006-05-08,None,None,None,0.3
2006-02-08,None,None,None,0.2
2005-11-08,None,None,None,0.2
2005-08-08,None,None,None,0.2
2005-05-06,None,None,None,0.2
2005-02-08,None,None,None,0.18
2004-11-08,None,None,None,0.18
2004-08-06,None,None,None,0.18
2004-05-06,None,None,None,0.18
2004-02-06,None,None,None,0.16
2003-11-06,None,None,None,0.16
2003-08-06,None,None,None,0.16
2003-05-07,None,None,None,0.16
2003-02-06,None,None,None,0.15
2002-11-06,None,None,None,0.15
2002-08-07,None,None,None,0.15
2002-05-08,None,None,None,0.15
2002-02-06,None,None,None,0.14
2001-11-07,None,None,None,0.14
2001-08-08,None,None,None,0.14
2001-05-08,None,None,None,0.14
2001-02-07,None,None,None,0.13
2000-11-08,None,None,None,0.13
2000-08-08,None,None,None,0.13
2000-05-08,None,None,None,0.13
2000-02-08,None,None,None,0.12
1999-11-08,None,None,None,0.12
1999-08-06,None,None,None,0.12
1999-05-06,None,None,None,0.24
1999-02-08,None,None,None,0.22
